clientMac,group,transition,uniquePlaces,totalTime
000aebd9f64b667a7b57e3b5d4831a739cf93b7c77b444758aa6e1bc,active (others),2,2,2609
003d6362a6d99f6569e768e5cc3818913188c8f8e45d2e45bba77a17,inactive (dorm),1,1,3585
007416f0d09fb413520bdf6ebf08a558fec4d3bd7d5f36a8a7a818ad,in-the-wild (others),5,1,3094
009ba682457655398c148ea5d802e99af89c7b92de097f1e8457cf0a,active (others),1,1,3309
00a1a2ec77de7ace24b19cd4509b59c3df630b8cdd28271c5b56c0ad,in-the-wild (others),10,8,3522
00a2301a594b55a6826e7b704ae7be4bb55631c2a391db4f5e700a1a,inactive (dorm),1,1,2993
00b7a4b1334e5a67bb4b83341367ad88998383bae9a1cc78fb2c67ba,active (others),1,1,3593
00edbd49ebbc187cf674d5205d82df4649e821feb3bcbc745aaa34f4,inactive (dorm),1,1,3538
00fdd0a441ce306039c66027dbf5d74aac53ce289536a5a1c6a3fd31,inactive (dorm),1,1,3326
01151fdac5016905bbdd04522c1e44e1340436838e286ed00c040b74,inactive (dorm),1,1,2743
012d382180ca45e1032d225880598a36b15711a1606fc5387a4bae1d,inactive (dorm),1,1,3077
0150629fa290fad515341125d50d83ad67a3d306e7a236d19d9241d3,inactive (dorm),1,1,3252
017aba879fd955aba984476381b2780ad83d656a7ae439184443b0cd,inactive (dorm),1,1,1459
019ca14313614c7f92d243879b281f674cbef6fc9255b61770112536,inactive (dorm),1,1,3560
01afaaabacfb5567e781d72d44a14f2e849953db6ef91480d99038fb,active (others),1,1,178
01b4f3fbd7754a7c8b964eb9c29e3a490a6f6a52a63a110e271cf8a8,active (others),2,2,971
01d5a149e978f8ac4c5d6292c4fc58fe2790aa7d709f0d3476459780,in-the-wild (others),9,5,3595
01d7c79e128ad03a893c89d580cb68246810dd7a58d32b2fdf7f74f5,active (others),1,1,3579
01db799a978f21fe32cb3a42c965cc083bf320689e722405de9c2428,inactive (dorm),1,1,178
0232c047cbf7a7c58e0af1048cf71f5069518364893f112b5d3e3882,inactive (dorm),1,1,3268
023428d3bb3dfe8d6f2bb740e7f4df530953ad348a6e808761db8ab2,active (others),3,1,3496
02642707f9f66df5608c22106b5e2f3f373b22652e2fef53c137928c,active (others),2,2,3256
027e9c9fdf7aff140ca0fc46eb99b246b0e7164144ea18d371d9f26c,active (others),1,1,3383
0295253ab64de508375f945abcec4306795150fe90addda78bf6d126,inactive (dorm),1,1,3392
02c6f3d9b796f1feb4c51174dd725f376c7f13ec06269eaa1ca97a6a,active (others),1,1,3389
02d22203c9ff57a6f8faf8e7ff4e6389a0fff47c0208ceb5401e9a2f,inactive (dorm),1,1,985
02d2a3effe9d656fe837348d7c50c47a8f250c5ed1ac5e37c616afa6,inactive (dorm),1,1,3550
02db90574fab5148748d468f4cf254a10544d87eefbc900ec522e715,active (others),1,1,3363
03036088870ef3607ac241d0d722b66947be1af4b9e4f2fa6ba28b2c,in-the-wild (others),7,7,2338
0304099163b1ceccf24ed6bcf01f65b4a34325ab95b9aa54d5de83fc,in-the-wild (others),12,11,3565
030d49bef412d63632fc93ee2039d5d4759095dec1c519e7f1d26dd2,active (others),6,6,3096
033d4b4b83e9aacfe96303033ba8c065fc3add734eb602c295232afd,active (others),1,1,1261
0347fc6a40f92476c6bfa0e98ca7f552bb1ae80b3d86c3971acb34ba,active (others),1,1,3431
034bf146d2880991723ac796ca57c1b734c0138924d3fab8251f654c,active (others),1,1,3518
0352d90111e2eac8acd49751fef212b7561754fd4cf2f2ab1798c232,active (others),1,1,252
03672965274b00e18371a47e5e5e90ad5c8d0295e9955c5862627a5a,active (others),14,10,3550
03764b77f9d1fec13edf7e50ab70b53ecc8c5180157ae48972304ed8,active (others),1,1,2496
037c96a365953356f9d2724d8359de91ee2d0414ef7ee42f8fedfd61,active (others),1,1,2661
03899dc778517b5e500c0dda9270ec6829008cf841532a42b77ba20c,inactive (dorm),1,1,3593
03b1dc2042e5b72732bad86933bf8548528a698be60a0276c677e1ed,inactive (dorm),1,1,3168
03bfcd31f6ed373d3d8396e29e43d35505132e2c1513c56f3996d27c,active (others),1,1,3538
03c45e7bca850fc5031d9fd1577dc9fa039609df8033064407a41af4,active (others),1,1,527
03f528487eaef9deb643b2f827245297c4eb1bb3e16b1c90c7d6a0e0,active (others),3,3,3412
040751a2ecab0032ba3d0fd813018ddecc8b49caf813c8f8ee59069f,active (others),1,1,3224
040ac3063ecb6c42950fd0ba34bfaf7ce82b9fbc65ac7f57b24a9175,active (others),1,1,3174
043397e5a720695260807e0e41badb5c13ed2b5afb2a78e52e2a19b2,active (others),1,1,3587
043493a3da17cdaa39342409d152b88a2aa43daaaeed58d65d968b1c,inactive (dorm),1,1,2837
04372c9e2723421979d66671334e5f658c025a5eee3952b39129c0f1,active (dorm),3,2,1987
047cefe2e3ede582c608d6914e2b122911dc75cf9bcb2578265997ea,active (others),1,1,3208
049dae08f72a6d323678456ff1476e8327738d2575a922e2190831f4,inactive (dorm),1,1,3569
04a7411f6b67aa7a0dfe0815c2d8a7dc6a939737e9dfbd2ddfa24900,active (others),1,1,3560
04adc97f7ce1fc69687af22e34fabcc4655c2940315828f7fecbc146,inactive (dorm),3,1,2881
04c8a930d4b2cb40acf871c2f1d75ee1ea7c8ac01f69095d8ed78dbe,active (others),1,1,2632
04caa8eb820be5916eb19e80e0e221683b53565ef40bf5739f374e3c,active (others),3,2,3546
04e65899f1cf6b018d807bee562e7b295636df76d00517f6bf9a15c8,active (others),3,3,3577
04f3394c94a326357f4b181a278fe48d4cd34e3d66d695db5bb0e234,inactive (dorm),4,1,417
05181aa6136a08c1af5e3534383147d59e912e2622be5e952d6c75f3,active (others),1,1,3442
052c5232683dd603ba035c4d5ca59017166bbb0a3ec265fda787ba51,inactive (dorm),1,1,1659
05430a6c06144ff0bdff2986c2887ca149a981b38723118fc13620d1,inactive (dorm),1,1,562
0543bb02a04e8433c56b201fd3566852b7aaa73bd1b0b54e05a3e1a5,inactive (dorm),1,1,1965
054a4f248ef8c41b8870cdec99a30659aa10f15eea0e0f5eca260cb2,active (others),1,1,3542
05507096089bb6d2989fd51d0dcd8b525adedc303f130bb7eabeb22a,inactive (dorm),1,1,3135
0552b8830fd701aa187f65e505cb9dba59db36a764bf4363c18c8ee0,active (others),1,1,2182
0555f375db85401ecd16816a7a797e5a49cce2c384cf83517ac65b96,active (others),2,2,2815
056f06697c338a424ec24dfac444afbd435d56b2f9148775db745b44,active (others),1,1,3536
057f4e172ef11e9fe94289b41e7981b9815c2784c2e197c373c82cb2,in-the-wild (others),1,1,3290
0583bf207fd504feba7a9f6cc44c58cd2e53658abc1678104657cd6b,active (dorm),5,3,3044
05a9ee155b159a9ac8f72e8d6b1fe815de79bae2e7b46951270b3871,in-the-wild (others),4,4,1843
05aa1305dc111cef10251eb86ca95f75409daf0218a408775c925865,inactive (dorm),1,1,3526
05b516829ef2f2b2f58f72001408be539b2f0aa306050eee19bdb6de,active (others),1,1,3558
05fc897ee88fcb7809c99a60f89e453ed0c0f0b97ce0ad0341250c91,active (others),4,4,3299
061a5d8a5cb096009cd20855e15c912eefc19edae01f30d648042c27,active (others),1,1,3530
0623aea1048527d7dae81c92769180bb6b1de98279cbc92a0b0a0fe9,inactive (dorm),1,1,1211
063ab3f7c45b20056dbf8d0d0ed4db7090e415b430a051810e31043f,inactive (dorm),1,1,3464
06b3703ebf39a2943829bcbb87f7324e23f25e6aa87b9fceb91a3816,active (others),1,1,3492
