name,parent,value
S16CTN,000aebd9f64b667a7b57e3b5d4831a739cf93b7c77b444758aa6e1bc,562
MD6,000aebd9f64b667a7b57e3b5d4831a739cf93b7c77b444758aa6e1bc,2047
YNCRC2,003d6362a6d99f6569e768e5cc3818913188c8f8e45d2e45bba77a17,3585
CLIB,007416f0d09fb413520bdf6ebf08a558fec4d3bd7d5f36a8a7a818ad,3094
SH,009ba682457655398c148ea5d802e99af89c7b92de097f1e8457cf0a,3309
YIH-BS,00a1a2ec77de7ace24b19cd4509b59c3df630b8cdd28271c5b56c0ad,114
AS4,00a1a2ec77de7ace24b19cd4509b59c3df630b8cdd28271c5b56c0ad,140
CREATE,00a1a2ec77de7ace24b19cd4509b59c3df630b8cdd28271c5b56c0ad,2371
AS1,00a1a2ec77de7ace24b19cd4509b59c3df630b8cdd28271c5b56c0ad,148
AS8-BS,00a1a2ec77de7ace24b19cd4509b59c3df630b8cdd28271c5b56c0ad,40
VEN-BS,00a1a2ec77de7ace24b19cd4509b59c3df630b8cdd28271c5b56c0ad,117
UT-BS,00a1a2ec77de7ace24b19cd4509b59c3df630b8cdd28271c5b56c0ad,217
AS2,00a1a2ec77de7ace24b19cd4509b59c3df630b8cdd28271c5b56c0ad,375
YNCRC1,00a2301a594b55a6826e7b704ae7be4bb55631c2a391db4f5e700a1a,2993
S11,00b7a4b1334e5a67bb4b83341367ad88998383bae9a1cc78fb2c67ba,3593
E3,00edbd49ebbc187cf674d5205d82df4649e821feb3bcbc745aaa34f4,3538
UT-BS,00fdd0a441ce306039c66027dbf5d74aac53ce289536a5a1c6a3fd31,3326
E1,01151fdac5016905bbdd04522c1e44e1340436838e286ed00c040b74,2743
YNCRC3,012d382180ca45e1032d225880598a36b15711a1606fc5387a4bae1d,3077
YNCRC1,0150629fa290fad515341125d50d83ad67a3d306e7a236d19d9241d3,3252
E2,017aba879fd955aba984476381b2780ad83d656a7ae439184443b0cd,1459
YNCRC1,019ca14313614c7f92d243879b281f674cbef6fc9255b61770112536,3560
E5,01afaaabacfb5567e781d72d44a14f2e849953db6ef91480d99038fb,178
UT-BS,01b4f3fbd7754a7c8b964eb9c29e3a490a6f6a52a63a110e271cf8a8,26
MUSM-BS,01b4f3fbd7754a7c8b964eb9c29e3a490a6f6a52a63a110e271cf8a8,945
UNK,01d5a149e978f8ac4c5d6292c4fc58fe2790aa7d709f0d3476459780,70
CREATE,01d5a149e978f8ac4c5d6292c4fc58fe2790aa7d709f0d3476459780,290
E3,01d5a149e978f8ac4c5d6292c4fc58fe2790aa7d709f0d3476459780,1661
RC4,01d5a149e978f8ac4c5d6292c4fc58fe2790aa7d709f0d3476459780,1139
RH-BS,01d5a149e978f8ac4c5d6292c4fc58fe2790aa7d709f0d3476459780,435
MD1,01d7c79e128ad03a893c89d580cb68246810dd7a58d32b2fdf7f74f5,3579
UHC-BS,01db799a978f21fe32cb3a42c965cc083bf320689e722405de9c2428,178
E2,0232c047cbf7a7c58e0af1048cf71f5069518364893f112b5d3e3882,3268
S16,023428d3bb3dfe8d6f2bb740e7f4df530953ad348a6e808761db8ab2,3496
MD6,02642707f9f66df5608c22106b5e2f3f373b22652e2fef53c137928c,3178
MD11,02642707f9f66df5608c22106b5e2f3f373b22652e2fef53c137928c,78
TMSI,027e9c9fdf7aff140ca0fc46eb99b246b0e7164144ea18d371d9f26c,3383
EA,0295253ab64de508375f945abcec4306795150fe90addda78bf6d126,3392
S16,02c6f3d9b796f1feb4c51174dd725f376c7f13ec06269eaa1ca97a6a,3389
E2,02d22203c9ff57a6f8faf8e7ff4e6389a0fff47c0208ceb5401e9a2f,985
YNCRC1,02d2a3effe9d656fe837348d7c50c47a8f250c5ed1ac5e37c616afa6,3550
E1A,02db90574fab5148748d468f4cf254a10544d87eefbc900ec522e715,3363
YIH-BS,03036088870ef3607ac241d0d722b66947be1af4b9e4f2fa6ba28b2c,94
LT4,03036088870ef3607ac241d0d722b66947be1af4b9e4f2fa6ba28b2c,17
CRECTN,03036088870ef3607ac241d0d722b66947be1af4b9e4f2fa6ba28b2c,833
CREATE,03036088870ef3607ac241d0d722b66947be1af4b9e4f2fa6ba28b2c,127
COM2-BS,03036088870ef3607ac241d0d722b66947be1af4b9e4f2fa6ba28b2c,431
VEN-BS,03036088870ef3607ac241d0d722b66947be1af4b9e4f2fa6ba28b2c,90
UT-BS,03036088870ef3607ac241d0d722b66947be1af4b9e4f2fa6ba28b2c,746
IT-BS,0304099163b1ceccf24ed6bcf01f65b4a34325ab95b9aa54d5de83fc,177
ARTSCTN,0304099163b1ceccf24ed6bcf01f65b4a34325ab95b9aa54d5de83fc,26
GRN,0304099163b1ceccf24ed6bcf01f65b4a34325ab95b9aa54d5de83fc,2041
CREATE,0304099163b1ceccf24ed6bcf01f65b4a34325ab95b9aa54d5de83fc,62
BIZ2-BS,0304099163b1ceccf24ed6bcf01f65b4a34325ab95b9aa54d5de83fc,166
BIZ1,0304099163b1ceccf24ed6bcf01f65b4a34325ab95b9aa54d5de83fc,372
AS8-BS,0304099163b1ceccf24ed6bcf01f65b4a34325ab95b9aa54d5de83fc,39
COM2-BS,0304099163b1ceccf24ed6bcf01f65b4a34325ab95b9aa54d5de83fc,141
BIZ2,0304099163b1ceccf24ed6bcf01f65b4a34325ab95b9aa54d5de83fc,62
GRS,0304099163b1ceccf24ed6bcf01f65b4a34325ab95b9aa54d5de83fc,57
UT-BS,0304099163b1ceccf24ed6bcf01f65b4a34325ab95b9aa54d5de83fc,422
IT-BS,030d49bef412d63632fc93ee2039d5d4759095dec1c519e7f1d26dd2,57
KV-BS,030d49bef412d63632fc93ee2039d5d4759095dec1c519e7f1d26dd2,2461
AS1,030d49bef412d63632fc93ee2039d5d4759095dec1c519e7f1d26dd2,70
AS2,030d49bef412d63632fc93ee2039d5d4759095dec1c519e7f1d26dd2,396
AS8-BS,030d49bef412d63632fc93ee2039d5d4759095dec1c519e7f1d26dd2,62
MUSM-BS,030d49bef412d63632fc93ee2039d5d4759095dec1c519e7f1d26dd2,50
S17,033d4b4b83e9aacfe96303033ba8c065fc3add734eb602c295232afd,1261
E4A,0347fc6a40f92476c6bfa0e98ca7f552bb1ae80b3d86c3971acb34ba,3431
MD11,034bf146d2880991723ac796ca57c1b734c0138924d3fab8251f654c,3518
BTC-BS,0352d90111e2eac8acd49751fef212b7561754fd4cf2f2ab1798c232,252
PGPH7-BS,03672965274b00e18371a47e5e5e90ad5c8d0295e9955c5862627a5a,39
ARTSCTN,03672965274b00e18371a47e5e5e90ad5c8d0295e9955c5862627a5a,255
AS1,03672965274b00e18371a47e5e5e90ad5c8d0295e9955c5862627a5a,231
BIZ1,03672965274b00e18371a47e5e5e90ad5c8d0295e9955c5862627a5a,41
PGP-BS,03672965274b00e18371a47e5e5e90ad5c8d0295e9955c5862627a5a,1981
