name,parent,value
Origin,,
00a1a2ec77de7ace24b19cd4509b59c3df630b8cdd28271c5b56c0ad,Origin,10
01d5a149e978f8ac4c5d6292c4fc58fe2790aa7d709f0d3476459780,Origin,9
03036088870ef3607ac241d0d722b66947be1af4b9e4f2fa6ba28b2c,Origin,7
030d49bef412d63632fc93ee2039d5d4759095dec1c519e7f1d26dd2,Origin,6
08dc40606f92c7a05a7fd8c25d047455e60301dad06564c9ae7c21dc,Origin,7
0a69a3ee1ce3abfa1a87e051e419871009550bcbb851bddb8c8880b0,Origin,10
0bcdbcccfabd844340c979d450c7f4cee8ea91b982425f0c6970624d,Origin,9
0c576dd1f430f515ccabe9bcfd90ca44dac3061ed8293d0a7e5f450f,Origin,6
0cf52f46cf8dda381dccc1de29a2a252af0d76f0e9f8fb61abee63d5,Origin,6
11d67bf0d6c47e96b16fa6b7fc6bb1930da1c24d56d38733e9d42a04,Origin,7
11e3c6c6182b7b4fe5d4a21c0a759986b1667243588b19934df46ef6,Origin,7
1466c6be8b15aa5250683e56d9a6c27c0a3f0ee597a454367daae703,Origin,6
1616073e292edbd2ecc3f6e3c24622c12e3a85eb3154abac38759e3c,Origin,9
1805b1f4b2142ca486debbc48e0fcbd09ac3b11c5952aecd300c8480,Origin,7
19a7ce3d75e4bcc0a9bc99383bc635a83b739baf11d0d009853edc33,Origin,6
1b542f233d7dc1adaa490ccc44ab29146c48ec6bd7e0b0eb4f2e0add,Origin,7
1bedde71cf62232b4a120a4eda753fe44e5fa4602ce24761ab8f0936,Origin,6
1d25472dad0c128b2d73f1321859a0bf7faacbb904f984efa5be70dd,Origin,6
1fc578da3c32bbcf54a24603cbe5989b81e0f831978bbe3681b2862b,Origin,9
217b25e8b20e2c19b0c05b284a21b8ef3fde5b953eee065f47c71c3c,Origin,9
222f11b4dd83ed644b5e2b77bff13318d9866d4c5328d3d75f3d8c66,Origin,7
26d78fab254c39644058beed8e9b46eca329c59e5484c9b423f4a7ca,Origin,6
28952adba336028be5c8f72c5c495858cb8ce31dc99751fa7f640f29,Origin,8
28b665d661465a055d8bd380b244f46e17a8d10d9284bf0ea5ac79af,Origin,7
2c2281a7aca7bdfa23c2a1359af7b1107b4c51a27bf5745f9dbed116,Origin,8
2d08f8fc57caac1164551ed4f080bff9dcf594a7338d1fdb27b88e5b,Origin,7
2f10e0f4e22da04cfab35c4aba8c2fc18ea12b45e09fb9878ccaca09,Origin,7
329545634dd2c89330c16345423d9991b199336aa73bd44f252c1ca7,Origin,9
339ed88a057f9aaa8575a6f005e7fd3b3a6174f439c3bce181958578,Origin,6
33a2888f7e045ffa7022826cb64579cfa99bb31d3349b92c954a898e,Origin,7
33eba46827c5fa2690f0645e88b7306a58f0aed69e372cb30551c2af,Origin,8
3457f62e80a5a0299a1fde7fd7f5f8903f8824c16a29bbaf83b61362,Origin,6
355a09a64f868721a51fc7a60cbcd34a0418d9db76cafcd1ba83cbfa,Origin,8
35d302c7520e31f42a2af0f0655e221f1d7d5cbad70bce0fc412108d,Origin,6
3dd5ffdc08b4886bb32b8fc4ab17ff95654bf9e63c5968fd82709f65,Origin,7
3defdc6141bd2581688c799b5bc47a091e30c03996618cc2075a8726,Origin,6
3e1ce876f24b4bca3c2486a5cccc0a47ab4fdd6c1d5edb2bf91b4c0b,Origin,6
422108753b41a8678fb5e117bf01d99eb9348c17d1268339ebeae820,Origin,6
4613937c7615dab8a8b97f933d1064c82b8f96b6181ec05e8ed227a3,Origin,7
4699f78d9a2659e61d868d9bd19abceb2334fb223867dd60eaf31b01,Origin,7
481ea0dfaef4d56b6c07d196adfa15a56f96b69c95738e7e7f9914fb,Origin,7
4c11eea35753f7b58311b00fedc38c50ae89448d713047bd75a0ee74,Origin,6
4d91fd90698372ad6473c64c9b1ad982377a05abb5946d9f7e9be1f2,Origin,6
4e95dc2a556446298e4a1399b9866e342600b8882a309a94351af28e,Origin,8
4f3cb7021f97ee098757037ec7a4ac407578f30c3b36fb2bb2880267,Origin,8
4f7bf9a9d232189757b73e5d9038bc4ed7e0af1f4acd27478a8f25f8,Origin,6
502fe734a7e42de6cfb42c7e41d22fe3559b01da1ce3221de1ac8d33,Origin,6
504b325b609393bab2316d44ac4d0850664ee53b1ba430dcdc498f94,Origin,7
5168215d95f75c31030cea62b9245db5893208d962d0f5d82cdbbf98,Origin,6
516b6dfadf35af18d3981a8585850ac03b603177156d3d83965c1f9a,Origin,7
51e832ae1e98deef14f07f364c892919feb46f187d5ef0c20e7006aa,Origin,6
